Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T037_001,SE_T037_002,SE_T037_003,SE_T057_001,SE_T157_001
"13089020100","14000US13089020100","Census Tract 201, DeKalb County, Georgia","Census Tract 201, DeKalb County, Georgia","ga","140","00","ACSSF","0002791",,,,,"13","089",,,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,4807.044,0.417304250058301,38.1,38.6,37.8,1190,1143,47,162500,0.4065
"13089020200","14000US13089020200","Census Tract 202, DeKalb County, Georgia","Census Tract 202, DeKalb County, Georgia","ga","140","00","ACSSF","0002792",,,,,"13","089",,,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139,3710.169,0.576523520572296,35.5,35.3,35.7,1299,1236,63,95809,0.5576
"13089020300","14000US13089020300","Census Tract 203, DeKalb County, Georgia","Census Tract 203, DeKalb County, Georgia","ga","140","00","ACSSF","0002793",,,,,"13","089",,,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056,5466.396,0.741987993766767,36.5,37.6,35,2525,2457,68,101923,0.4482
"13089020400","14000US13089020400","Census Tract 204, DeKalb County, Georgia","Census Tract 204, DeKalb County, Georgia","ga","140","00","ACSSF","0002794",,,,,"13","089",,,,"020400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,6447.409,0.390854706662734,36.5,37.4,36,1635,1593,42,77000,0.4728
"13089020500","14000US13089020500","Census Tract 205, DeKalb County, Georgia","Census Tract 205, DeKalb County, Georgia","ga","140","00","ACSSF","0002795",,,,,"13","089",,,,"020500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145,4830.528,0.651067495293414,38.2,36.9,38.9,1743,1533,210,44960,0.51
"13089020600","14000US13089020600","Census Tract 206, DeKalb County, Georgia","Census Tract 206, DeKalb County, Georgia","ga","140","00","ACSSF","0002796",,,,,"13","089",,,,"020600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190,5122.51,0.427524760732482,33.2,30.9,34.5,1340,1189,151,36908,0.4922
"13089020700","14000US13089020700","Census Tract 207, DeKalb County, Georgia","Census Tract 207, DeKalb County, Georgia","ga","140","00","ACSSF","0002797",,,,,"13","089",,,,"020700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256,4619.38,0.488377166226253,35.3,34.3,37,1332,1257,75,51339,0.4816
"13089020801","14000US13089020801","Census Tract 208.01, DeKalb County, Georgia","Census Tract 208.01, DeKalb County, Georgia","ga","140","00","ACSSF","0002798",,,,,"13","089",,,,"020801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529,4727.948,0.534904408823516,38.8,38.2,39.2,1640,1537,103,80625,0.3992
"13089020802","14000US13089020802","Census Tract 208.02, DeKalb County, Georgia","Census Tract 208.02, DeKalb County, Georgia","ga","140","00","ACSSF","0002799",,,,,"13","089",,,,"020802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365,4131.337,1.0565585632057,36.5,36.6,36.4,2353,2231,122,57422,0.531
"13089020900","14000US13089020900","Census Tract 209, DeKalb County, Georgia","Census Tract 209, DeKalb County, Georgia","ga","140","00","ACSSF","0002800",,,,,"13","089",,,,"020900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546,3302.81,1.67917611973492,37.7,37,38.9,3285,3059,226,65008,0.4652
"13089021101","14000US13089021101","Census Tract 211.01, DeKalb County, Georgia","Census Tract 211.01, DeKalb County, Georgia","ga","140","00","ACSSF","0002801",,,,,"13","089",,,,"021101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,3119.2,1.21922302342714,42,37,45.7,2068,2013,55,158265,0.4218
"13089021102","14000US13089021102","Census Tract 211.02, DeKalb County, Georgia","Census Tract 211.02, DeKalb County, Georgia","ga","140","00","ACSSF","0002802",,,,,"13","089",,,,"021102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641,4074.106,1.38459830701918,35.2,33.7,36.3,3404,3370,34,83033,0.5638
"13089021202","14000US13089021202","Census Tract 212.02, DeKalb County, Georgia","Census Tract 212.02, DeKalb County, Georgia","ga","140","00","ACSSF","0002803",,,,,"13","089",,,,"021202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7496,2661.224,2.81674857180805,38,37.5,39.3,3871,3704,167,95247,0.4572
"13089021204","14000US13089021204","Census Tract 212.04, DeKalb County, Georgia","Census Tract 212.04, DeKalb County, Georgia","ga","140","00","ACSSF","0002804",,,,,"13","089",,,,"021204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3451,1909.085,1.80767208187837,27.2,28.6,24.3,2053,1874,179,25000,0.3739
"13089021208","14000US13089021208","Census Tract 212.08, DeKalb County, Georgia","Census Tract 212.08, DeKalb County, Georgia","ga","140","00","ACSSF","0002805",,,,,"13","089",,,,"021208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4179,3030.712,1.37888399482932,35,36,34.4,2586,2416,170,58776,0.4313
"13089021209","14000US13089021209","Census Tract 212.09, DeKalb County, Georgia","Census Tract 212.09, DeKalb County, Georgia","ga","140","00","ACSSF","0002806",,,,,"13","089",,,,"021209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,3242.565,1.86580671416238,38.7,38.7,38.7,3248,3113,135,64777,0.4746
"13089021210","14000US13089021210","Census Tract 212.10, DeKalb County, Georgia","Census Tract 212.10, DeKalb County, Georgia","ga","140","00","ACSSF","0002807",,,,,"13","089",,,,"021210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5696,2342.141,2.431963005234,44,44.1,43.5,2758,2600,158,138705,0.4189
"13089021211","14000US13089021211","Census Tract 212.11, DeKalb County, Georgia","Census Tract 212.11, DeKalb County, Georgia","ga","140","00","ACSSF","0002808",,,,,"13","089",,,,"021211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4786,2479.976,1.9298572039716,49.4,49.4,49.3,2303,2241,62,102446,0.4453
"13089021213","14000US13089021213","Census Tract 212.13, DeKalb County, Georgia","Census Tract 212.13, DeKalb County, Georgia","ga","140","00","ACSSF","0002809",,,,,"13","089",,,,"021213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,3017.709,1.16777336420092,43.9,44.8,43.1,1520,1440,80,136953,0.4864
"13089021214","14000US13089021214","Census Tract 212.14, DeKalb County, Georgia","Census Tract 212.14, DeKalb County, Georgia","ga","140","00","ACSSF","0002810",,,,,"13","089",,,,"021214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6193,2869.823,2.15797254659095,43,39,46.7,2768,2684,84,116071,0.3861
"13089021215","14000US13089021215","Census Tract 212.15, DeKalb County, Georgia","Census Tract 212.15, DeKalb County, Georgia","ga","140","00","ACSSF","0002811",,,,,"13","089",,,,"021215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6134,4911.534,1.24889690608605,32.6,33.4,32.1,3405,3247,158,95875,0.3762
"13089021216","14000US13089021216","Census Tract 212.16, DeKalb County, Georgia","Census Tract 212.16, DeKalb County, Georgia","ga","140","00","ACSSF","0002812",,,,,"13","089",,,,"021216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8057,5752.2,1.40068139311842,34.8,35.4,34.4,5037,4911,126,81554,0.4105
"13089021217","14000US13089021217","Census Tract 212.17, DeKalb County, Georgia","Census Tract 212.17, DeKalb County, Georgia","ga","140","00","ACSSF","0002813",,,,,"13","089",,,,"021217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,3384.216,0.647417285331052,38.6,38,38.9,1121,1070,51,75846,0.4056
"13089021218","14000US13089021218","Census Tract 212.18, DeKalb County, Georgia","Census Tract 212.18, DeKalb County, Georgia","ga","140","00","ACSSF","0002814",,,,,"13","089",,,,"021218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5604,5143.179,1.08959848462618,34.1,34.1,33.9,3934,3628,306,51516,0.3988
"13089021301","14000US13089021301","Census Tract 213.01, DeKalb County, Georgia","Census Tract 213.01, DeKalb County, Georgia","ga","140","00","ACSSF","0002815",,,,,"13","089",,,,"021301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,2775.284,1.39084852902793,30.9,30.4,31.9,2362,2220,142,43138,0.4413
